Data,Estado,Nome,Codigo,Casos/Dia,Mortes
2020-03-29,SP,São Luiz do Paraitinga,355000,0,0
2020-04-06,SP,Aparecida d'Oeste,350260,0,0
2020-05-02,PI,Santa Filomena,220920,0,0
2020-04-02,MG,Bom Sucesso,310800,0,0
2020-04-09,PR,Nova Olímpia,411720,0,0
2020-04-09,TO,Conceição do Tocantins,170560,0,0
2020-04-30,MG,Mato Verde,314100,0,0
2020-06-13,RS,Lagoa Bonita do Sul,431123,0,0
2020-04-15,BA,Potiraguá,292540,0,0
2020-04-13,RS,Barracão,430180,0,0
2020-05-27,SP,Aramina,350300,0,0
2020-06-05,RS,Novo Machado,431342,0,0
2020-04-27,MG,Itumirim,313430,0,0
2020-04-26,PR,Barbosa Ferraz,410250,0,0
2020-05-04,PB,São Domingos,251396,0,0
2020-07-19,MG,Passabém,314750,0,0
2020-03-27,TO,Sítio Novo do Tocantins,172080,0,0
2020-04-18,RS,Lajeado do Bugre,431142,0,0
2020-04-01,SE,Boquim,280067,0,0
2020-04-21,BA,Antas,290160,0,0
2020-05-29,RS,Faxinal do Soturno,430800,0,0
2020-05-23,PR,Santana do Itararé,412400,1,0
2020-04-18,MA,Açailândia,210005,1,0
2020-05-05,PB,Santa Helena,251330,1,0
2020-06-12,RN,Bodó,240165,1,0
2020-06-24,MT,Santa Terezinha,510777,1,0
2020-08-02,RS,Vista Alegre,432350,1,0
2020-05-13,RS,Vanini,432255,1,0
2020-04-29,CE,Frecheirinha,230450,2,0
2020-06-22,TO,Silvanópolis,172065,2,0
2020-07-04,PB,Emas,250590,3,0
2020-05-13,PR,Mariópolis,411530,3,0
2020-07-30,MG,Japonvar,313535,3,1
2020-05-27,MG,Bueno Brandão,310910,3,1
2020-06-27,MG,Bom Jesus do Amparo,310770,4,0
2020-05-24,PA,Pau D'Arco,150555,4,1
2020-07-12,PB,Vieirópolis,251720,4,0
2020-05-26,SP,Elias Fausto,351490,4,1
2020-06-02,MG,Lajinha,313770,4,0
2020-04-17,ES,Anchieta,320040,5,0
2020-06-21,RN,Serrinha,241350,5,0
2020-08-27,MG,Tabuleiro,316790,5,1
2020-07-12,MG,Sardoá,316550,6,0
2020-08-08,RS,Três Arroios,432163,8,0
2020-11-29,MG,Itacambira,313200,9,1
2020-07-13,MG,Crisólita,312015,10,0
2020-06-21,MG,Andradas,310260,11,1
2020-05-13,GO,Uruaçu,522160,12,0
2020-06-30,AL,Jundiá,270390,13,3
2020-05-29,MS,Sonora,500793,13,0
2020-06-29,SP,Patrocínio Paulista,353630,17,0
2020-08-31,PB,Catingueira,250420,19,2
2020-10-24,RS,Ilópolis,431030,23,0
2020-05-21,RS,Saldanha Marinho,431643,26,3
2020-11-29,SP,Alvinlândia,350150,27,0
2020-07-18,MG,Sacramento,315690,29,0
2020-06-05,PB,Mataraca,250930,31,1
2020-07-08,PR,Jataizinho,411270,34,1
2020-07-05,RN,Florânia,240380,41,0
2020-07-09,PR,São Mateus do Sul,412560,46,2
2020-05-17,TO,Cariri do Tocantins,170386,46,0
2020-09-09,MS,Antônio João,500090,53,0
2020-08-30,SC,Ibicaré,420680,54,0
2020-10-09,RS,Camargo,430355,65,0
2020-12-04,BA,Heliópolis,291185,70,2
2020-06-23,RN,São Paulo do Potengi,241260,71,5
2020-08-06,GO,Petrolina de Goiás,521680,71,1
2020-10-26,SE,Amparo de São Francisco,280010,74,2
2020-08-22,SP,Morungaba,353200,75,2
2020-08-22,SP,Elisiário,351492,84,2
2020-09-19,SC,Tigrinhos,421795,85,0
2020-09-16,TO,Centenário,170410,85,3
2020-11-08,RN,Tibau,241105,91,5
2020-10-12,PR,Antônio Olinto,410130,93,1
2020-10-07,PE,Solidão,261440,107,0
2020-09-24,BA,Muquém do São Francisco,292225,113,1
2020-06-07,ES,Santa Teresa,320460,114,5
2020-08-16,PR,Jaguariaíva,411200,151,4
2020-10-08,PR,São João,412480,152,2
2020-11-25,BA,Barro Alto,290323,158,1
2020-11-30,PE,Iati,260650,170,2
2020-12-03,SP,Ariranha,350370,189,7
2020-07-31,SE,Santana do São Francisco,280640,189,4
2020-08-16,PA,Bonito,150160,236,7
2020-10-10,PB,Mataraca,250930,239,7
2020-08-06,PA,Curralinho,150280,244,8
2020-08-22,SP,Uchoa,355560,252,9
2020-09-01,MS,Itaquiraí,500460,258,6
2020-09-25,CE,Milhã,230835,288,7
2020-10-03,SP,Charqueada,351170,338,8
2020-09-18,PI,Luís Correia,220570,351,13
2020-11-20,ES,Atílio Vivacqua,320070,396,9
2020-11-03,SP,Itobi,352380,431,5
2020-09-25,CE,Morrinhos,230890,491,10
2020-08-21,PA,Porto de Moz,150590,885,25
2020-07-06,GO,Anápolis,520110,1066,18
2020-10-25,AM,Nova Olinda do Norte,130310,1094,25
2020-11-04,PR,Apucarana,410140,1174,46
2020-06-18,CE,Acaraú,230020,1223,28
2020-07-29,PA,Canaã dos Carajás,150215,2623,34
